,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Tempurature,Wind Speed,TimeStampt_Coverted
91,arawa,0,ID,1567037264,66,-3.93,119.75,25.85,9.35,Wed Aug 28 19:09:18 2019
92,meulaboh,100,ID,1567037264,85,4.14,96.13,26.65,4.25,Wed Aug 28 19:09:18 2019
93,chuy,0,UY,1567037265,94,-33.69,-53.46,15.65,4.71,Wed Aug 28 19:09:18 2019
94,troitsko-pechorsk,27,RU,1567037265,96,62.71,56.19,0.85,2.34,Wed Aug 28 19:09:18 2019
95,lovozero,13,RU,1567037265,93,68.01,35.02,10.15,2.1,Wed Aug 28 19:09:18 2019
96,moron,61,HT,1567037265,74,18.56,-74.26,27.35,1.21,Wed Aug 28 19:09:18 2019
97,najran,0,SA,1567037266,45,17.54,44.22,26.0,1.59,Wed Aug 28 19:09:18 2019
98,nizhniy kuranakh,75,RU,1567037266,83,58.84,125.49,12.05,2.6,Wed Aug 28 19:09:18 2019
99,jamestown,0,AU,1567037266,60,-33.21,138.6,7.85,4.63,Wed Aug 28 19:09:18 2019
100,baculin,100,PH,1567037266,71,7.45,126.58,26.25,0.48,Wed Aug 28 19:09:18 2019
101,lazaro cardenas,75,MX,1567037267,21,28.39,-105.62,34.0,4.1,Wed Aug 28 19:09:18 2019
102,bredasdorp,0,ZA,1567037267,80,-34.53,20.04,5.35,2.19,Wed Aug 28 19:09:18 2019
103,georgetown,20,GY,1567037172,83,6.8,-58.16,27.0,4.1,Wed Aug 28 19:09:18 2019
104,lompoc,20,US,1567037267,77,34.64,-120.46,25.0,2.6,Wed Aug 28 19:09:18 2019
105,sao filipe,60,CV,1567037267,76,14.9,-24.5,26.15,4.39,Wed Aug 28 19:09:18 2019
106,benguela,44,AO,1567037268,89,-12.58,13.4,20.45,0.72,Wed Aug 28 19:09:18 2019
107,mabaruma,68,GY,1567037268,97,8.2,-59.78,23.55,1.58,Wed Aug 28 19:09:18 2019
108,sernur,1,RU,1567037268,89,56.93,49.15,3.15,5.0,Wed Aug 28 19:09:18 2019
109,barrow,79,AR,1567037268,87,-38.31,-60.23,16.05,1.28,Wed Aug 28 19:09:18 2019
110,ilulissat,75,GL,1567037269,70,69.22,-51.1,6.0,2.1,Wed Aug 28 19:09:18 2019
111,tongling,99,CN,1567037269,85,30.93,117.81,23.25,0.77,Wed Aug 28 19:09:18 2019
112,champoton,5,MX,1567037232,70,19.35,-90.72,32.0,5.1,Wed Aug 28 19:09:18 2019
