,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Tempurature,Wind Speed,TimeStampt_Coverted
512,belmonte,1,PT,1567037352,62,40.36,-7.35,23.33,0.71,Wed Aug 28 19:09:18 2019
513,mackenzie,1,CA,1567037353,42,55.34,-123.09,18.0,2.6,Wed Aug 28 19:09:18 2019
514,fonte boa,52,BR,1567037325,58,-2.51,-66.09,29.85,1.48,Wed Aug 28 19:09:18 2019
515,kaniama,2,CD,1567037353,55,-7.57,24.18,21.95,1.8,Wed Aug 28 19:09:18 2019
516,voineasa,0,RO,1567037353,82,45.42,23.96,18.0,1.84,Wed Aug 28 19:09:18 2019
517,kirakira,92,SB,1567037353,74,-10.46,161.92,28.85,2.66,Wed Aug 28 19:09:18 2019
518,hervey bay,40,AU,1567037335,64,-25.3,152.85,25.0,3.6,Wed Aug 28 19:09:18 2019
519,buala,81,SB,1567037354,71,-8.15,159.59,28.55,3.87,Wed Aug 28 19:09:18 2019
520,escanaba,90,US,1567037242,72,45.75,-87.06,17.0,4.6,Wed Aug 28 19:09:18 2019
521,kouroussa,96,GN,1567037354,98,10.65,-9.88,21.35,2.65,Wed Aug 28 19:09:18 2019
522,ban nahin,90,LA,1567037354,95,18.24,104.21,22.75,1.02,Wed Aug 28 19:09:18 2019
523,sorong,89,ID,1567037354,79,-0.86,131.25,25.95,3.17,Wed Aug 28 19:09:18 2019
524,lesnoy,35,RU,1567037355,86,59.78,52.13,1.15,3.21,Wed Aug 28 19:09:18 2019
525,lashio,64,MM,1567037355,99,22.93,97.75,20.55,0.46,Wed Aug 28 19:09:18 2019
526,majene,33,ID,1567037355,77,-3.54,118.97,25.75,13.15,Wed Aug 28 19:09:18 2019
527,acapulco,5,MX,1567037355,74,16.86,-99.88,31.0,3.1,Wed Aug 28 19:09:18 2019
528,bukachacha,28,RU,1567037356,60,52.99,116.91,15.85,1.27,Wed Aug 28 19:09:18 2019
529,veraval,90,FR,1567037356,88,49.65,0.71,19.0,4.12,Wed Aug 28 19:09:18 2019
530,amvrosiyivka,7,UA,1567037356,53,47.79,38.48,15.35,4.34,Wed Aug 28 19:09:18 2019
531,thinadhoo,100,MV,1567037356,71,0.53,72.93,28.65,3.66,Wed Aug 28 19:09:18 2019
532,dongsheng,79,CN,1567037356,76,29.72,112.52,24.45,1.67,Wed Aug 28 19:09:18 2019
533,zabol,0,IR,1567037357,14,31.03,61.49,24.85,3.17,Wed Aug 28 19:09:18 2019
534,boa vista,0,BR,1567037357,55,2.82,-60.67,31.0,2.6,Wed Aug 28 19:09:18 2019
535,moranbah,12,AU,1567037357,60,-22.0,148.04,21.25,5.27,Wed Aug 28 19:09:18 2019
536,garowe,74,SO,1567037357,65,8.41,48.48,22.75,11.46,Wed Aug 28 19:09:18 2019
537,sivaki,6,RU,1567037358,60,52.63,126.75,17.85,1.68,Wed Aug 28 19:09:18 2019
538,dali,0,CN,1567037337,45,34.79,109.94,22.65,1.07,Wed Aug 28 19:09:18 2019
539,marihatag,100,PH,1567037358,82,8.8,126.3,26.15,0.65,Wed Aug 28 19:09:18 2019
